2023-12-26 01:17:34.911|INFO |monitor-consumer|19252||c.a.d.c.l.LoggerFactory  |?   |using logger: com.alibaba.dubbo.common.logger.slf4j.Slf4jLoggerAdapter
2023-12-26 01:17:34.929|INFO |monitor-consumer|19252||c.a.b.d.c.e.WelcomeLogoApplicationListener|53  |

 :: Dubbo Spring Boot (v0.2.0) : https://github.com/apache/incubator-dubbo-spring-boot-project
 :: Dubbo (v2.6.2) : https://github.com/apache/incubator-dubbo
 :: Google group : dev@dubbo.incubator.apache.org

2023-12-26 01:17:34.932|INFO |monitor-consumer|19252||c.a.b.d.c.e.OverrideDubboConfigApplicationListener|68  |Dubbo Config was overridden by externalized configuration {dubbo.application.name=monitor-api-A, dubbo.registry.address=zookeeper://127.0.0.1:2181, dubbo.registry.protocol=zookeeper, dubbo.scan.base-packages=com.zr.monitor.api}
2023-12-26 01:17:35.061|INFO |monitor-consumer|19252||c.z.m.MonitorsystemMainApplication|50  |Starting MonitorsystemMainApplication on American-DESKTOP with PID 19252 (started by Kane in C:\Users\Kane\Desktop\SWU\软件工程新技术\monitorsystem)
2023-12-26 01:17:35.062|INFO |monitor-consumer|19252||c.z.m.MonitorsystemMainApplication|675 |No active profile set, falling back to default profiles: default
2023-12-26 01:17:35.602|INFO |monitor-consumer|19252||c.a.d.c.s.c.a.DubboConfigBindingRegistrar|121 |The dubbo config bean definition [name : com.alibaba.dubbo.config.ApplicationConfig#0, class : com.alibaba.dubbo.config.ApplicationConfig] has been registered.
2023-12-26 01:17:35.603|INFO |monitor-consumer|19252||c.a.d.c.s.c.a.DubboConfigBindingRegistrar|145 |The BeanPostProcessor bean definition [com.alibaba.dubbo.config.spring.beans.factory.annotation.DubboConfigBindingBeanPostProcessor] for dubbo config bean [name : com.alibaba.dubbo.config.ApplicationConfig#0] has been registered.
2023-12-26 01:17:35.604|INFO |monitor-consumer|19252||c.a.d.c.s.c.a.DubboConfigBindingRegistrar|121 |The dubbo config bean definition [name : com.alibaba.dubbo.config.RegistryConfig#0, class : com.alibaba.dubbo.config.RegistryConfig] has been registered.
2023-12-26 01:17:35.604|INFO |monitor-consumer|19252||c.a.d.c.s.c.a.DubboConfigBindingRegistrar|145 |The BeanPostProcessor bean definition [com.alibaba.dubbo.config.spring.beans.factory.annotation.DubboConfigBindingBeanPostProcessor] for dubbo config bean [name : com.alibaba.dubbo.config.RegistryConfig#0] has been registered.
2023-12-26 01:17:35.983|INFO |monitor-consumer|19252||o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker|330 |Bean 'com.alibaba.boot.dubbo.autoconfigure.DubboAutoConfiguration' of type [com.alibaba.boot.dubbo.autoconfigure.DubboAutoConfiguration$$EnhancerBySpringCGLIB$$5ef1d72f] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-12-26 01:17:36.050|INFO |monitor-consumer|19252||o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker|330 |Bean 'relaxedDubboConfigBinder' of type [com.alibaba.boot.dubbo.autoconfigure.RelaxedDubboConfigBinder] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-12-26 01:17:36.074|INFO |monitor-consumer|19252||o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker|330 |Bean 'org.springframework.security.config.annotation.configuration.ObjectPostProcessorConfiguration' of type [org.springframework.security.config.annotation.configuration.ObjectPostProcessorConfiguration$$EnhancerBySpringCGLIB$$e89df9f7] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-12-26 01:17:36.081|INFO |monitor-consumer|19252||o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker|330 |Bean 'objectPostProcessor' of type [org.springframework.security.config.annotation.configuration.AutowireBeanFactoryObjectPostProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-12-26 01:17:36.084|INFO |monitor-consumer|19252||o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker|330 |Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@2fcffc05' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-12-26 01:17:36.090|INFO |monitor-consumer|19252||o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker|330 |Bean 'org.springframework.security.config.annotation.method.configuration.GlobalMethodSecurityConfiguration' of type [org.springframework.security.config.annotation.method.configuration.GlobalMethodSecurityConfiguration$$EnhancerBySpringCGLIB$$d729ca9] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-12-26 01:17:36.098|INFO |monitor-consumer|19252||o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker|330 |Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-12-26 01:17:36.105|INFO |monitor-consumer|19252||o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker|330 |Bean 'relaxedDubboConfigBinder' of type [com.alibaba.boot.dubbo.autoconfigure.RelaxedDubboConfigBinder] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-12-26 01:17:36.479|INFO |monitor-consumer|19252||o.s.b.w.e.t.TomcatWebServer|90  |Tomcat initialized with port(s): 9002 (http)
2023-12-26 01:17:36.493|INFO |monitor-consumer|19252||o.a.c.h.Http11NioProtocol|173 |Initializing ProtocolHandler ["http-nio-9002"]
2023-12-26 01:17:36.502|INFO |monitor-consumer|19252||o.a.c.c.StandardService  |173 |Starting service [Tomcat]
2023-12-26 01:17:36.502|INFO |monitor-consumer|19252||o.a.c.c.StandardEngine   |173 |Starting Servlet Engine: Apache Tomcat/9.0.13
2023-12-26 01:17:36.505|INFO |monitor-consumer|19252||o.a.c.c.AprLifecycleListener|173 |Loaded APR based Apache Tomcat Native library [1.2.33] using APR version [1.7.0].
2023-12-26 01:17:36.505|INFO |monitor-consumer|19252||o.a.c.c.AprLifecycleListener|173 |APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2023-12-26 01:17:36.506|INFO |monitor-consumer|19252||o.a.c.c.AprLifecycleListener|173 |APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2023-12-26 01:17:36.508|INFO |monitor-consumer|19252||o.a.c.c.AprLifecycleListener|173 |OpenSSL successfully initialized [OpenSSL 1.1.1o  3 May 2022]
2023-12-26 01:17:36.610|INFO |monitor-consumer|19252||o.a.c.c.C.[.[.[/]        |173 |Initializing Spring embedded WebApplicationContext
2023-12-26 01:17:36.610|INFO |monitor-consumer|19252||o.s.w.c.ContextLoader    |296 |Root WebApplicationContext: initialization completed in 1433 ms
2023-12-26 01:17:36.858|INFO |monitor-consumer|19252||c.a.d.c.s.b.f.a.DubboConfigBindingBeanPostProcessor|85  |The properties of bean [name : com.alibaba.dubbo.config.ApplicationConfig#0] have been binding by prefix of configuration properties : dubbo.application
2023-12-26 01:17:36.863|INFO |monitor-consumer|19252||c.a.d.c.s.b.f.a.DubboConfigBindingBeanPostProcessor|85  |The properties of bean [name : com.alibaba.dubbo.config.RegistryConfig#0] have been binding by prefix of configuration properties : dubbo.registry
2023-12-26 01:17:36.927|INFO |monitor-consumer|19252||c.a.d.r.z.ZookeeperRegistry|200 | [DUBBO] Load registry store file C:\Users\Kane\.dubbo\dubbo-registry-monitor-api-A-127.0.0.1:2181.cache, data: {com.zr.monitor.service.MonitorService=empty://10.85.1.17/com.zr.monitor.service.MonitorService?application=monitor-api-A&category=configurators&dubbo=2.6.2&interface=com.zr.monitor.service.MonitorService&methods=getReportByTime,getReportByStation,getReportByComponent&pid=9348&side=consumer&timestamp=1703517195245 empty://10.85.1.17/com.zr.monitor.service.MonitorService?application=monitor-api-A&category=routers&dubbo=2.6.2&interface=com.zr.monitor.service.MonitorService&methods=getReportByTime,getReportByStation,getReportByComponent&pid=9348&side=consumer&timestamp=1703517195245 dubbo://10.85.1.17:20883/com.zr.monitor.service.MonitorService?anyhost=true&application=monitor-authservice-provider&dubbo=2.6.2&generic=false&interface=com.zr.monitor.service.MonitorService&methods=getReportByTime,getReportByStation,getReportByComponent&pid=10376&side=provider&timestamp=1703516908389, com.zr.monitor.service.MailService=empty://10.85.1.12/com.zr.monitor.service.MailService?application=monitor-api-A&category=configurators&dubbo=2.6.2&interface=com.zr.monitor.service.MailService&methods=sendWarningMail&pid=18520&side=consumer&timeout=10000&timestamp=1703350374556 empty://10.85.1.12/com.zr.monitor.service.MailService?application=monitor-api-A&category=routers&dubbo=2.6.2&interface=com.zr.monitor.service.MailService&methods=sendWarningMail&pid=18520&side=consumer&timeout=10000&timestamp=1703350374556 empty://10.85.1.12/com.zr.monitor.service.MailService?application=monitor-api-A&category=providers&dubbo=2.6.2&interface=com.zr.monitor.service.MailService&methods=sendWarningMail&pid=18520&side=consumer&timeout=10000&timestamp=1703350374556, com.zr.mailmonitor.service.MailService=empty://10.85.1.17/com.zr.mailmonitor.service.MailService?application=monitor-api-A&category=configurators&dubbo=2.6.2&interface=com.zr.mailmonitor.service.MailService&methods=sendWarningMail&pid=9348&side=consumer&timeout=10000&timestamp=1703517195756 empty://10.85.1.17/com.zr.mailmonitor.service.MailService?application=monitor-api-A&category=routers&dubbo=2.6.2&interface=com.zr.mailmonitor.service.MailService&methods=sendWarningMail&pid=9348&side=consumer&timeout=10000&timestamp=1703517195756 empty://10.85.1.17/com.zr.mailmonitor.service.MailService?application=monitor-api-A&category=providers&dubbo=2.6.2&interface=com.zr.mailmonitor.service.MailService&methods=sendWarningMail&pid=9348&side=consumer&timeout=10000&timestamp=1703517195756, com.zr.monitor.service.AuthService=empty://10.85.1.17/com.zr.monitor.service.AuthService?application=monitor-api-A&category=configurators&dubbo=2.6.2&interface=com.zr.monitor.service.AuthService&methods=loadUserByUsername&pid=9348&side=consumer&timestamp=1703517195870 empty://10.85.1.17/com.zr.monitor.service.AuthService?application=monitor-api-A&category=routers&dubbo=2.6.2&interface=com.zr.monitor.service.AuthService&methods=loadUserByUsername&pid=9348&side=consumer&timestamp=1703517195870 dubbo://10.85.1.17:20883/com.zr.monitor.service.AuthService?anyhost=true&application=monitor-authservice-provider&dubbo=2.6.2&generic=false&interface=com.zr.monitor.service.AuthService&methods=loadUserByUsername&pid=10376&side=provider&timestamp=1703516908145}, dubbo version: 2.6.2, current host: 10.65.103.148
2023-12-26 01:17:37.009|INFO |monitor-consumer|19252||o.a.c.f.i.CuratorFrameworkImpl|235 |Starting
2023-12-26 01:17:37.029|INFO |monitor-consumer|19252||o.a.z.ZooKeeper          |100 |Client environment:zookeeper.version=3.4.8--1, built on 02/06/2016 03:18 GMT
2023-12-26 01:17:37.031|INFO |monitor-consumer|19252||o.a.z.ZooKeeper          |100 |Client environment:host.name=10.65.103.148
2023-12-26 01:17:37.031|INFO |monitor-consumer|19252||o.a.z.ZooKeeper          |100 |Client environment:java.version=1.8.0_192
2023-12-26 01:17:37.031|INFO |monitor-consumer|19252||o.a.z.ZooKeeper          |100 |Client environment:java.vendor=Oracle Corporation
2023-12-26 01:17:37.032|INFO |monitor-consumer|19252||o.a.z.ZooKeeper          |100 |Client environment:java.home=C:\Program Files\Java\jdk1.8.0_192\jre
